		Date	m^3/s	
08JC001	2	2011-01-01	2.175	
08JC001	2	2011-01-02	2.17	
08JC001	2	2011-01-03	2.19	
08JC001	2	2011-01-04	2.219	
08JC001	2	2011-01-05	2.277	
08JC001	2	2011-01-06	2.272	
08JC001	2	2011-01-07	2.262	
08JC001	2	2011-01-08	2.259	
08JC001	2	2011-01-09	2.234	
08JC001	2	2011-01-10	2.165	
08JC001	2	2011-01-11	2.094	
08JC001	2	2011-01-12	2.118	
08JC001	2	2011-01-13	2.098	A
08JC001	2	2011-01-14		
08JC001	2	2011-01-15		
08JC001	2	2011-01-16		
08JC001	2	2011-01-17		
08JC001	2	2011-01-18	2.248	A
08JC001	2	2011-01-19	2.276	
08JC001	2	2011-01-20	2.301	
08JC001	2	2011-01-21	2.331	
08JC001	2	2011-01-22	2.357	
08JC001	2	2011-01-23	2.355	
08JC001	2	2011-01-24	2.348	
08JC001	2	2011-01-25	2.348	
08JC001	2	2011-01-26	2.357	
08JC001	2	2011-01-27	2.367	
08JC001	2	2011-01-28	2.379	
08JC001	2	2011-01-29	2.368	
08JC001	2	2011-01-30	2.335	
08JC001	2	2011-01-31	2.302	
08JC001	2	2011-02-01	2.265	
08JC001	2	2011-02-02	2.297	
08JC001	2	2011-02-03	2.344	
08JC001	2	2011-02-04	2.363	
08JC001	2	2011-02-05	2.37	
08JC001	2	2011-02-06	2.386	
08JC001	2	2011-02-07	2.364	
08JC001	2	2011-02-08	2.34	
08JC001	2	2011-02-09	2.37	
08JC001	2	2011-02-10	2.368	
08JC001	2	2011-02-11	2.407	
08JC001	2	2011-02-12	2.405	
08JC001	2	2011-02-13	2.393	
08JC001	2	2011-02-14	2.388	
08JC001	2	2011-02-15	2.394	
08JC001	2	2011-02-16	2.379	
08JC001	2	2011-02-17	2.371	
08JC001	2	2011-02-18	2.318	
08JC001	2	2011-02-19	2.302	A
08JC001	2	2011-02-20	2.322	
08JC001	2	2011-02-21	2.334	
08JC001	2	2011-02-22	2.372	
08JC001	2	2011-02-23	2.378	
08JC001	2	2011-02-24	2.306	
08JC001	2	2011-02-25	2.263	
08JC001	2	2011-02-26	2.306	
08JC001	2	2011-02-27	2.363	
08JC001	2	2011-02-28	2.335	
08JC001	2	2011-03-01	2.292	
08JC001	2	2011-03-02		
08JC001	2	2011-03-03		
08JC001	2	2011-03-04		
08JC001	2	2011-03-05		
08JC001	2	2011-03-06		
08JC001	2	2011-03-07		
08JC001	2	2011-03-08		
08JC001	2	2011-03-09	2.292	A
08JC001	2	2011-03-10	2.295	
08JC001	2	2011-03-11	2.301	
08JC001	2	2011-03-12	2.312	
08JC001	2	2011-03-13	2.311	
08JC001	2	2011-03-14	2.317	
08JC001	2	2011-03-15	2.329	
08JC001	2	2011-03-16	2.336	
08JC001	2	2011-03-17	2.346	
08JC001	2	2011-03-18	2.346	
08JC001	2	2011-03-19	2.35	
08JC001	2	2011-03-20	2.351	
08JC001	2	2011-03-21	2.348	
08JC001	2	2011-03-22	2.344	
08JC001	2	2011-03-23	2.343	
08JC001	2	2011-03-24	2.35	
08JC001	2	2011-03-25	2.359	
08JC001	2	2011-03-26	2.354	
08JC001	2	2011-03-27	2.358	
08JC001	2	2011-03-28	2.371	
08JC001	2	2011-03-29	2.382	
08JC001	2	2011-03-30	2.387	
08JC001	2	2011-03-31	2.399	
08JC001	2	2011-04-01	2.411	
08JC001	2	2011-04-02	2.405	
08JC001	2	2011-04-03	2.383	
08JC001	2	2011-04-04	2.363	
08JC001	2	2011-04-05	2.376	
08JC001	2	2011-04-06	2.366	
08JC001	2	2011-04-07	2.347	
08JC001	2	2011-04-08	2.353	
08JC001	2	2011-04-09	2.328	
08JC001	2	2011-04-10	2.325	
08JC001	2	2011-04-11	2.314	
08JC001	2	2011-04-12	2.312	
08JC001	2	2011-04-13	2.317	
08JC001	2	2011-04-14	2.406	
08JC001	2	2011-04-15	2.378	
08JC001	2	2011-04-16	2.278	
08JC001	2	2011-04-17	2.04	
08JC001	2	2011-04-18	1.846	
08JC001	2	2011-04-19	1.767	
08JC001	2	2011-04-20	1.743	
08JC001	2	2011-04-21	1.747	
08JC001	2	2011-04-22	1.757	
08JC001	2	2011-04-23	1.763	
08JC001	2	2011-04-24	1.782	
08JC001	2	2011-04-25	1.814	
08JC001	2	2011-04-26	1.864	
08JC001	2	2011-04-27	1.907	
08JC001	2	2011-04-28	1.927	
08JC001	2	2011-04-29	1.958	
08JC001	2	2011-04-30	2.008	
08JC001	2	2011-05-01	2.047	
08JC001	2	2011-05-02	2.109	
08JC001	2	2011-05-03	2.227	
08JC001	2	2011-05-04	2.305	
08JC001	2	2011-05-05	2.365	
08JC001	2	2011-05-06	2.429	
08JC001	2	2011-05-07	2.509	
08JC001	2	2011-05-08	2.584	
08JC001	2	2011-05-09	2.657	
08JC001	2	2011-05-10	2.745	
08JC001	2	2011-05-11	2.841	
08JC001	2	2011-05-12	2.981	
08JC001	2	2011-05-13	3.097	
08JC001	2	2011-05-14	3.155	
08JC001	2	2011-05-15	3.193	
08JC001	2	2011-05-16	3.228	
08JC001	2	2011-05-17	3.324	
08JC001	2	2011-05-18	3.52	
08JC001	2	2011-05-19	3.648	
08JC001	2	2011-05-20	3.738	
08JC001	2	2011-05-21	3.831	
08JC001	2	2011-05-22	3.93	
08JC001	2	2011-05-23	4.024	
08JC001	2	2011-05-24	4.104	
08JC001	2	2011-05-25	4.159	
08JC001	2	2011-05-26	4.183	
08JC001	2	2011-05-27	4.214	
08JC001	2	2011-05-28	4.264	
08JC001	2	2011-05-29	4.323	
08JC001	2	2011-05-30	4.338	
08JC001	2	2011-05-31	4.319	
08JC001	2	2011-06-01	4.287	
08JC001	2	2011-06-02	4.252	
08JC001	2	2011-06-03	4.208	
08JC001	2	2011-06-04	4.158	
08JC001	2	2011-06-05	4.13	
08JC001	2	2011-06-06	4.183	
08JC001	2	2011-06-07	4.273	
08JC001	2	2011-06-08	4.332	
08JC001	2	2011-06-09	4.356	
08JC001	2	2011-06-10	4.376	
08JC001	2	2011-06-11	4.405	
08JC001	2	2011-06-12	4.436	
08JC001	2	2011-06-13	4.471	
08JC001	2	2011-06-14	4.505	
08JC001	2	2011-06-15	4.518	
08JC001	2	2011-06-16	4.498	
08JC001	2	2011-06-17	4.475	
08JC001	2	2011-06-18	4.495	
08JC001	2	2011-06-19	4.512	
08JC001	2	2011-06-20	4.518	
08JC001	2	2011-06-21	4.52	
08JC001	2	2011-06-22	4.521	
08JC001	2	2011-06-23	4.524	
08JC001	2	2011-06-24	4.512	
08JC001	2	2011-06-25	4.491	
08JC001	2	2011-06-26	4.427	
08JC001	2	2011-06-27	4.448	
08JC001	2	2011-06-28	4.478	
08JC001	2	2011-06-29	4.496	
08JC001	2	2011-06-30	4.508	
08JC001	2	2011-07-01	4.519	
08JC001	2	2011-07-02	4.525	
08JC001	2	2011-07-03	4.522	
08JC001	2	2011-07-04	4.505	
08JC001	2	2011-07-05	4.486	
08JC001	2	2011-07-06	4.472	
08JC001	2	2011-07-07	4.464	
08JC001	2	2011-07-08	4.421	
08JC001	2	2011-07-09	4.372	
08JC001	2	2011-07-10	4.35	
08JC001	2	2011-07-11	4.347	
08JC001	2	2011-07-12	4.372	
08JC001	2	2011-07-13	4.393	
08JC001	2	2011-07-14	4.424	
08JC001	2	2011-07-15	4.447	
08JC001	2	2011-07-16	4.45	
08JC001	2	2011-07-17	4.458	
08JC001	2	2011-07-18	4.459	
08JC001	2	2011-07-19	4.454	
08JC001	2	2011-07-20	4.45	
08JC001	2	2011-07-21	4.453	
08JC001	2	2011-07-22	4.447	
08JC001	2	2011-07-23	4.45	
08JC001	2	2011-07-24	4.453	
08JC001	2	2011-07-25	4.448	
08JC001	2	2011-07-26	4.449	
08JC001	2	2011-07-27	4.442	
08JC001	2	2011-07-28	4.429	
08JC001	2	2011-07-29	4.418	
08JC001	2	2011-07-30	4.419	
08JC001	2	2011-07-31	4.422	
08JC001	2	2011-08-01	4.411	
08JC001	2	2011-08-02	4.406	
08JC001	2	2011-08-03	4.393	
08JC001	2	2011-08-04	4.374	
08JC001	2	2011-08-05	4.354	
08JC001	2	2011-08-06	4.338	
08JC001	2	2011-08-07	4.315	
08JC001	2	2011-08-08	4.295	
08JC001	2	2011-08-09	4.275	
08JC001	2	2011-08-10	4.252	
08JC001	2	2011-08-11	4.232	
08JC001	2	2011-08-12	4.218	
08JC001	2	2011-08-13	4.222	
08JC001	2	2011-08-14	4.227	
08JC001	2	2011-08-15	4.22	
08JC001	2	2011-08-16	4.216	
08JC001	2	2011-08-17	4.203	
08JC001	2	2011-08-18	4.193	
08JC001	2	2011-08-19	4.185	
